image_path,label
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Neoboletus_luridiformis/2430667533-48593.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Guepiniopsis_buccina/Guepiniopsis buccina_45141.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Laccaria_amethysteo-occidentalis/Laccaria amethysteo-occidentalis_88526.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Amanita_frostiana/Amanita frostiana_167768.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Mycena_arcangeliana/2238364387-311097.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Hyphodontia_quercina/2238537329-103507.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Amanita_jacksonii/Amanita jacksonii_33805.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Hohenbuehelia_mastrucata/Hohenbuehelia mastrucata_24899.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Lactarius_rubidus/Lactarius rubidus_178928.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Hypholoma_lateritium/2452380991-273378.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Hygrocybe_calciphila/2238525535-175204.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Acrocordia_gemmata/Acrocordia gemmata_91525.jpg,Irrelevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Phlebia_tremellosa/2238577562-334817.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Hygrophoropsis_aurantiaca/2458348118-51235.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Tricholoma_sulphureum/2413149676-266425.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Parasola_conopilus/2901946310-218309.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Gymnosporangium_juniperi-virginianae/Gymnosporangium juniperi-virginianae_179634.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Cortinarius_elatior/2452380480-199248.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Lepiota_erminea/2238526470-175336.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Mycena_chlorantha/2238362930-161745.JPG,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Peziza_atrovinosa/Peziza atrovinosa_228422.jpg,Relevant
/Users/remo/repos/mushroom_master/gathering-data/Model_Data/Leccinum_arenicola/Leccinum arenicola_137191.jpg,Relevant
